rms,eventID,location,latitude,longitude,depth,magnitude,country,province,district,date,idsource
0.49,349471,Gemlik (Bursa),40.4378,29.1608,10.12,3.7,Türkiye,Bursa,Gemlik,2016-09-22 02:47:19.120,NAF01
0.31,349611,Ege Denizi - [52.12 km] Gökçeada (Çanakkale),40.269,25.1256,14.62,3.8,Türkiye,Çanakkale,Gökçeada,2016-09-24 07:26:31.240,NAF01
0.29,351523,Çınarcık (Yalova),40.5948,28.9513,10.22,3.6,Türkiye,Yalova,Çınarcık,2016-10-08 23:02:47.000,NAF01
0.37,352119,Cumayeri (Düzce),40.9015,30.9221,9.87,3.6,Türkiye,Düzce,Cumayeri,2016-10-16 14:11:24.480,NAF01
0.21,353840,İskilip (Çorum),40.7508,34.2811,6.42,4.7,Türkiye,Çorum,İskilip,2016-11-02 11:57:42.470,NAF02
0.9,353841,İskilip (Çorum),40.781,34.3038,16.39,3.9,Türkiye,Çorum,İskilip,2016-11-02 12:02:53.760,NAF02
0.43,354177,Reşadiye (Tokat),40.498,37.2018,11.2,3.6,Türkiye,Tokat,Reşadiye,2016-11-08 15:55:08.700,NAF03
0.43,354961,Refahiye (Erzincan),39.9526,38.5926,6.36,4.0,Türkiye,Erzincan,Refahiye,2016-11-20 22:52:36.850,NAF03
0.28,354972,Refahiye (Erzincan),39.9516,38.5883,10.55,3.8,Türkiye,Erzincan,Refahiye,2016-11-21 07:20:56.720,NAF03
0.26,355508,Çerkeş (Çankırı),40.7593,32.7263,12.39,3.8,Türkiye,Çankırı,Çerkeş,2016-12-01 00:11:16.220,NAF02
0.29,356410,Merkez (Erzincan),39.5798,39.72,3.19,4.5,Türkiye,Erzincan,Merkez,2016-12-16 21:21:49.430,NAF03
0.9,365135,Merkez (Amasya),40.446,35.782,13.7,3.6,Türkiye,Amasya,Merkez,2017-03-10 01:42:42.000,NAF04
0.12,369441,Refahiye (Erzincan),39.753,38.6778,3.14,3.8,Türkiye,Erzincan,Refahiye,2017-04-23 12:12:41.620,NAF03
0.64,371338,Aşkale (Erzurum),40.0566,40.705,6.41,4.7,Türkiye,Erzurum,Aşkale,2017-05-11 17:58:02.220,NAF03
0.4,371389,Merkez (Sivas),40.17,37.0281,6.99,3.8,Türkiye,Sivas,Merkez,2017-05-11 21:06:47.010,NAF03
0.44,371393,Aşkale (Erzurum),40.0615,40.7281,16.35,3.9,Türkiye,Erzurum,Aşkale,2017-05-11 21:46:37.000,NAF03
0.33,372839,Merkez (Erzincan),39.7661,39.4746,8.46,4.1,Türkiye,Erzincan,Merkez,2017-05-20 11:05:01.130,NAF03
0.15,375383,Çekerek (Yozgat),40.0426,35.6378,10.0,3.9,Türkiye,Yozgat,Çekerek,2017-06-10 08:51:46.010,NAF04
0.19,380863,Mecitözü (Çorum),40.5203,35.3401,12.55,3.8,Türkiye,Çorum,Mecitözü,2017-07-13 09:19:05.840,NAF04
0.37,383005,Marmara Denizi - Gemlik Körfezi - [06.03 km] Armutlu (Yalova),40.4131,28.9943,10.71,3.6,Türkiye,Yalova,Armutlu,2017-07-25 15:21:10.230,NAF01
0.39,383208,Çerkeş (Çankırı),40.7348,32.88,10.65,3.8,Türkiye,Çankırı,Çerkeş,2017-07-26 04:50:05.780,NAF02
0.55,383447,Ege Denizi - [45.06 km] Gökçeada (Çanakkale),40.2238,25.195,32.94,4.1,Türkiye,Çanakkale,Gökçeada,2017-07-27 12:45:18.000,NAF01
0.42,386289,Kelkit (Gümüşhane),39.9381,39.6228,12.1,4.0,Türkiye,Gümüşhane,Kelkit,2017-08-10 15:19:26.830,NAF03
0.46,393639,Yapraklı (Çankırı),40.7723,33.8921,10.28,3.8,Türkiye,Çankırı,Yapraklı,2017-10-19 22:37:05.080,NAF02
0.41,393806,Kemah (Erzincan),39.8105,39.0263,18.95,3.6,Türkiye,Erzincan,Kemah,2017-10-21 14:33:13.200,NAF03
0.55,394858,Adaklı (Bingöl),39.3798,40.496,7.08,3.9,Türkiye,Bingöl,Adaklı,2017-11-02 20:50:40.280,NAF03
0.27,400190,Marmara Denizi - [04.60 km] Erdek (Balıkesir),40.5491,27.8495,13.79,4.0,Türkiye,Balıkesir,Erdek,2017-12-31 20:12:02.560,NAF01
0.38,400693,Merkez (Tokat),40.5446,36.5975,15.81,4.0,Türkiye,Tokat,Merkez,2018-01-06 19:45:10.490,NAF03
0.34,401851,Merkez (Amasya),40.5596,35.7901,14.34,3.6,Türkiye,Amasya,Merkez,2018-01-19 16:07:14.950,NAF04
0.73,407607,Otlukbeli (Erzincan),39.9981,40.046,8.37,4.2,Türkiye,Erzincan,Otlukbeli,2018-03-03 09:05:49.950,NAF03
0.68,409362,Gölyaka (Düzce),40.7926,31.0063,5.19,3.6,Türkiye,Düzce,Gölyaka,2018-03-28 05:55:49.190,NAF01
0.36,409421,Merzifon (Amasya),40.6741,35.4891,10.02,3.7,Türkiye,Amasya,Merzifon,2018-03-29 03:17:02.320,NAF02
0.43,410003,Merkez (Bolu),40.8526,31.6393,10.47,4.7,Türkiye,Bolu,Merkez,2018-04-07 21:16:31.750,NAF02
0.41,410426,Hendek (Sakarya),40.7361,30.8115,7.15,3.8,Türkiye,Sakarya,Hendek,2018-04-13 13:38:32.470,NAF01
0.4,411666,Otlukbeli (Erzincan),39.9531,40.0371,7.02,3.8,Türkiye,Erzincan,Otlukbeli,2018-05-02 18:08:28.190,NAF03
0.26,411701,Merkez (Bolu),40.84,31.654,7.11,3.8,Türkiye,Bolu,Merkez,2018-05-03 02:30:45.630,NAF02
0.38,411702,Merkez (Bolu),40.8483,31.6535,9.45,4.0,Türkiye,Bolu,Merkez,2018-05-03 02:32:41.450,NAF02
0.24,412624,Merzifon (Amasya),40.6888,35.4666,12.84,4.1,Türkiye,Amasya,Merzifon,2018-05-18 04:35:06.030,NAF02
0.37,413547,Tosya (Kastamonu),41.009,33.9608,6.97,3.7,Türkiye,Kastamonu,Tosya,2018-06-03 20:44:09.900,NAF02
0.28,413764,Çerkeş (Çankırı),40.7723,32.6535,7.0,3.9,Türkiye,Çankırı,Çerkeş,2018-06-08 00:45:20.250,NAF02
0.5,416064,Dodurga (Çorum),40.8225,34.7213,14.27,3.9,Türkiye,Çorum,Dodurga,2018-07-03 12:56:43.900,NAF02
0.53,418567,Marmara Denizi - [07.87 km] Şarköy (Tekirdağ),40.6305,27.3221,21.61,4.3764,Türkiye,Tekirdağ,Şarköy,2018-08-13 08:57:09.090,NAF01
0.14,418792,İpsala (Edirne),40.883,26.4266,19.69,3.7,Türkiye,Edirne,İpsala,2018-08-17 05:54:55.230,NAF01
0.36,421785,Aziziye (Erzurum),40.2318,40.99,7.03,3.6,Türkiye,Erzurum,Aziziye,2018-09-29 02:36:04.590,NAF03
0.69,422482,Divriği (Sivas),39.6416,38.0901,6.64,3.7,Türkiye,Sivas,Divriği,2018-10-09 15:39:32.610,NAF03
0.26,423127,Gümüşhacıköy (Amasya),40.7225,35.197,11.15,4.0,Türkiye,Amasya,Gümüşhacıköy,2018-10-18 19:00:47.420,NAF02
0.45,424237,Gölyaka (Düzce),40.7821,31.0028,7.02,3.6,Türkiye,Düzce,Gölyaka,2018-11-02 23:42:36.430,NAF01
0.34,424894,Aziziye (Erzurum),40.272,41.0633,17.78,4.0,Türkiye,Erzurum,Aziziye,2018-11-10 15:01:55.670,NAF03
0.36,426244,Çınarcık (Yalova),40.6025,28.9493,14.28,4.1,Türkiye,Yalova,Çınarcık,2018-11-30 02:36:34.740,NAF01
0.31,426284,Çınarcık (Yalova),40.5998,28.9696,13.48,3.7,Türkiye,Yalova,Çınarcık,2018-11-30 11:39:31.630,NAF01
0.38,427320,Marmara Denizi - Gemlik Körfezi - [01.68 km] Mudanya (Bursa),40.3635,28.9876,11.36,3.8,Türkiye,Bursa,Mudanya,2018-12-15 09:26:06.930,NAF01
0.45,427611,Çınarcık (Yalova),40.5938,28.9716,12.47,4.5,Türkiye,Yalova,Çınarcık,2018-12-20 06:34:24.190,NAF01
0.43,428093,İliç (Erzincan),39.5588,38.6271,11.18,4.1,Türkiye,Erzincan,İliç,2018-12-27 14:36:47.840,NAF03
0.4,428099,İliç (Erzincan),39.5668,38.6163,6.87,3.8,Türkiye,Erzincan,İliç,2018-12-27 18:01:11.230,NAF03
0.29,428217,Ege Denizi - [21.59 km] Eceabat (Çanakkale),40.3976,26.0951,12.05,3.8,Türkiye,Çanakkale,Eceabat,2018-12-29 15:19:12.270,NAF01
0.45,428352,Yedisu (Bingöl),39.4006,40.4995,11.68,4.2,Türkiye,Bingöl,Yedisu,2019-01-01 02:09:34.010,NAF03
0.24,428572,Marmara Denizi - [05.66 km] Karacabey (Bursa),40.4233,28.3578,6.33,3.9,Türkiye,Bursa,Karacabey,2019-01-05 04:20:15.260,NAF01
0.28,428948,Nilüfer (Bursa),40.2478,28.8505,8.08,3.8,Türkiye,Bursa,Nilüfer,2019-01-11 16:09:56.250,NAF01
0.36,430499,İliç (Erzincan),39.5353,38.6346,6.98,3.6,Türkiye,Erzincan,İliç,2019-02-04 17:21:07.970,NAF03
0.42,431191,Marmara Denizi - [21.44 km] Marmaraereğlisi (Tekirdağ),40.7778,27.9013,10.14,3.8,Türkiye,Tekirdağ,Marmaraereğlisi,2019-02-15 16:14:27.540,NAF01
0.3,431490,Biga (Çanakkale),40.378,27.153,7.41,3.9,Türkiye,Çanakkale,Biga,2019-02-19 19:48:42.880,NAF01
0.39,431501,Biga (Çanakkale),40.3521,27.1253,6.79,4.0,Türkiye,Çanakkale,Biga,2019-02-19 21:33:55.170,NAF01
0.35,431509,Biga (Çanakkale),40.3741,27.1568,6.93,3.6,Türkiye,Çanakkale,Biga,2019-02-20 00:27:57.290,NAF01
0.22,431942,Biga (Çanakkale),40.371,27.168,4.02,3.7,Türkiye,Çanakkale,Biga,2019-02-24 01:22:24.920,NAF01
0.33,432459,Marmara Denizi - [10.25 km] Karacabey (Bursa),40.457,28.4505,13.72,4.0,Türkiye,Bursa,Karacabey,2019-03-04 21:07:27.740,NAF01
0.41,433453,Merzifon (Amasya),40.8193,35.32,10.79,3.7,Türkiye,Amasya,Merzifon,2019-03-19 17:41:04.600,NAF02
0.3,434655,Zara (Sivas),39.6693,38.0081,18.18,3.6,Türkiye,Sivas,Zara,2019-03-23 00:21:32.710,NAF03
0.46,436095,Divriği (Sivas),39.5206,37.9368,6.93,3.6,Türkiye,Sivas,Divriği,2019-04-01 01:55:14.370,NAF03
0.25,437244,Akyazı (Sakarya),40.6845,30.6106,7.0,3.8,Türkiye,Sakarya,Akyazı,2019-04-12 13:03:47.770,NAF01
0.34,439959,Marmara Denizi - [16.58 km] Marmaraereğlisi (Tekirdağ),40.8631,28.1008,7.01,3.6,Türkiye,Tekirdağ,Marmaraereğlisi,2019-05-09 16:05:28.560,NAF01
0.38,440659,Marmara Denizi - [04.66 km] Şarköy (Tekirdağ),40.736,27.3868,17.9,3.7,Türkiye,Tekirdağ,Şarköy,2019-05-21 13:17:37.650,NAF01
0.25,440695,Kemah (Erzincan),39.6256,38.694,6.43,3.9,Türkiye,Erzincan,Kemah,2019-05-22 06:34:10.390,NAF03
0.84,440879,Marmara Denizi - [09.99 km] Biga (Çanakkale),40.5216,27.0883,10.27,3.9,Türkiye,Çanakkale,Biga,2019-05-25 12:13:35.140,NAF01
0.73,441386,Hendek (Sakarya),40.745,30.7611,6.29,4.6,Türkiye,Sakarya,Hendek,2019-06-02 13:08:47.460,NAF01
0.28,442138,İliç (Erzincan),39.5406,38.6421,9.71,4.1,Türkiye,Erzincan,İliç,2019-06-19 00:45:30.850,NAF03
0.18,442587,Çayırlı (Erzincan),39.928,39.8853,6.97,3.7,Türkiye,Erzincan,Çayırlı,2019-06-28 18:27:28.660,NAF03
0.17,445692,Pülümür (Tunceli),39.3676,40.0163,13.73,3.9,Türkiye,Tunceli,Pülümür,2019-08-21 13:50:22.120,NAF03
0.25,445790,Biga (Çanakkale),40.3183,27.109,6.99,3.6,Türkiye,Çanakkale,Biga,2019-08-23 06:58:21.880,NAF01
0.38,447007,Mecitözü (Çorum),40.6258,35.3666,10.74,3.8,Türkiye,Çorum,Mecitözü,2019-09-11 20:01:41.490,NAF02
0.43,447008,Mecitözü (Çorum),40.6245,35.3773,7.53,3.6,Türkiye,Çorum,Mecitözü,2019-09-11 20:02:54.650,NAF02
0.35,447170,Çerkeş (Çankırı),40.73,32.9675,7.96,4.7,Türkiye,Çankırı,Çerkeş,2019-09-14 06:00:30.980,NAF02
0.44,447171,Çerkeş (Çankırı),40.722,32.9483,5.83,4.8,Türkiye,Çankırı,Çerkeş,2019-09-14 06:03:11.570,NAF02
0.2,447183,Çerkeş (Çankırı),40.7316,32.964,8.41,4.3,Türkiye,Çankırı,Çerkeş,2019-09-14 11:46:01.310,NAF02
0.51,447204,Çerkeş (Çankırı),40.7285,32.9851,10.22,4.1,Türkiye,Çankırı,Çerkeş,2019-09-14 18:08:43.260,NAF02
0.37,447205,Çerkeş (Çankırı),40.7415,32.9815,11.46,3.7,Türkiye,Çankırı,Çerkeş,2019-09-14 18:12:02.150,NAF02
0.53,447208,Çerkeş (Çankırı),40.732,32.9818,10.61,4.3,Türkiye,Çankırı,Çerkeş,2019-09-14 19:03:32.040,NAF02
0.22,447733,Marmara Denizi - [20.84 km] Silivri (İstanbul),40.8836,28.216,5.91,4.6,Türkiye,İstanbul,Silivri,2019-09-24 08:00:22.460,NAF01
0.41,447913,Marmara Denizi - [24.64 km] Silivri (İstanbul),40.8456,28.2576,7.78,3.6,Türkiye,İstanbul,Silivri,2019-09-26 07:32:07.250,NAF01
0.37,447923,Marmara Denizi - [21.07 km] Silivri (İstanbul),40.8818,28.214,7.97,5.8,Türkiye,İstanbul,Silivri,2019-09-26 10:59:25.890,NAF01
0.32,447925,Marmara Denizi - [25.02 km] Silivri (İstanbul),40.8416,28.2726,4.58,4.1,Türkiye,İstanbul,Silivri,2019-09-26 11:26:36.870,NAF01
0.34,447949,Marmara Denizi - [24.11 km] Silivri (İstanbul),40.854,28.2148,7.13,4.295450000000001,Türkiye,İstanbul,Silivri,2019-09-26 12:17:09.150,NAF01
0.3,447951,Marmara Denizi - [24.41 km] Silivri (İstanbul),40.8473,28.2643,7.01,3.7,Türkiye,İstanbul,Silivri,2019-09-26 12:26:10.950,NAF01
0.45,448046,Marmara Denizi - [21.78 km] Silivri (İstanbul),40.8721,28.249,7.02,3.9,Türkiye,İstanbul,Silivri,2019-09-26 20:20:18.970,NAF01
0.23,448171,Ege Denizi - [19.40 km] Enez (Edirne),40.4483,26.1495,7.12,3.9,Türkiye,Edirne,Enez,2019-09-27 13:35:47.170,NAF01
0.33,448267,Marmara Denizi - [22.14 km] Silivri (İstanbul),40.87,28.2381,12.23,4.3764,Türkiye,İstanbul,Silivri,2019-09-28 11:03:03.560,NAF01
0.36,449380,Marmara Denizi - [02.48 km] Merkez (Yalova),40.6778,29.2473,13.86,4.0,Türkiye,Yalova,Merkez,2019-10-10 16:52:03.340,NAF01
0.33,450575,Çerkeş (Çankırı),40.7123,32.9738,11.77,3.6,Türkiye,Çankırı,Çerkeş,2019-10-29 06:36:14.020,NAF02
0.31,452799,Marmara Denizi - [01.76 km] Çınarcık (Yalova),40.6123,28.9355,7.03,3.6,Türkiye,Yalova,Çınarcık,2019-11-22 14:36:42.790,NAF01
0.24,453549,Merkez (Bolu),40.7748,31.517,10.51,3.6,Türkiye,Bolu,Merkez,2019-12-06 22:36:16.040,NAF02
0.27,455374,Pülümür (Tunceli),39.4648,40.0195,13.21,4.2,Türkiye,Tunceli,Pülümür,2019-12-22 23:58:03.170,NAF03
0.44,456426,Marmara Denizi - [23.02 km] Silivri (İstanbul),40.8646,28.2086,10.82,4.7,Türkiye,İstanbul,Silivri,2020-01-11 13:37:36.590,NAF01
0.55,456476,Karlıova (Bingöl),39.3138,40.9033,7.02,3.6,Türkiye,Bingöl,Karlıova,2020-01-12 09:54:03.700,NAF03
0.21,456873,Zara (Sivas),39.5301,37.677,7.84,3.7,Türkiye,Sivas,Zara,2020-01-19 17:35:13.190,NAF03
0.22,465233,Pülümür (Tunceli),39.4258,40.0055,6.99,3.6,Türkiye,Tunceli,Pülümür,2020-02-15 21:53:38.470,NAF03
0.29,468694,Marmara Denizi - [04.86 km] Merkez (Yalova),40.693,29.223,11.09,3.9,Türkiye,Yalova,Merkez,2020-03-08 04:21:04.780,NAF01
