rms,eventID,location,latitude,longitude,depth,magnitude,country,province,district,date,idsource
0.29,488342,Uğurludağ (Çorum),40.4956,34.3375,10.77,4.2,Türkiye,Çorum,Uğurludağ,2020-11-17 23:05:47.600,NAF04
0.56,488819,Merkez (Bayburt),40.3123,40.1761,12.68,3.8,Türkiye,Bayburt,Merkez,2020-11-22 14:40:24.570,NAF03
0.42,490615,Uğurludağ (Çorum),40.4976,34.3391,21.86,4.295450000000001,Türkiye,Çorum,Uğurludağ,2020-12-10 22:26:05.190,NAF04
0.3,492923,Karlıova (Bingöl),39.3183,41.1276,6.98,3.8,Türkiye,Bingöl,Karlıova,2021-01-07 00:47:31.290,NAF03
0.57,493775,Yedisu (Bingöl),39.4423,40.3286,12.85,3.7,Türkiye,Bingöl,Yedisu,2021-01-20 09:27:33.600,NAF03
0.42,495536,Akyazı (Sakarya),40.6941,30.6351,7.02,4.295450000000001,Türkiye,Sakarya,Akyazı,2021-02-11 07:36:25.400,NAF01
0.66,495969,Pülümür (Tunceli),39.4278,40.2661,9.74,4.1,Türkiye,Tunceli,Pülümür,2021-02-17 10:02:30.480,NAF03
0.16,496342,Merkez (Sivas),39.6523,37.3568,6.98,3.8,Türkiye,Sivas,Merkez,2021-02-22 22:42:31.430,NAF03
0.27,496513,Karlıova (Bingöl),39.319,41.0966,6.96,4.1,Türkiye,Bingöl,Karlıova,2021-02-25 09:48:21.820,NAF03
0.32,497128,Alaca (Çorum),40.104,35.0428,5.35,4.45735,Türkiye,Çorum,Alaca,2021-03-08 09:09:54.770,NAF04
0.3,497780,Kemah (Erzincan),39.8156,39.0896,15.25,4.3,Türkiye,Erzincan,Kemah,2021-03-20 05:51:58.080,NAF03
0.22,499658,Dodurga (Çorum),40.8178,34.8066,11.22,4.700200000000001,Türkiye,Çorum,Dodurga,2021-04-11 14:06:36.700,NAF02
0.23,500261,Marmara Denizi - [22.96 km] Armutlu (Yalova),40.7365,28.7005,7.01,3.6,Türkiye,Yalova,Armutlu,2021-04-18 04:33:22.520,NAF01
0.36,501787,Marmara Denizi - Erdek Körfezi - [04.19 km] Biga (Çanakkale),40.346,27.3946,10.24,4.0,Türkiye,Çanakkale,Biga,2021-05-05 06:42:11.830,NAF01
0.64,501843,Karlıova (Bingöl),39.3718,40.8155,10.36,3.6,Türkiye,Bingöl,Karlıova,2021-05-05 21:27:09.840,NAF03
0.13,502257,Erbaa (Tokat),40.5601,36.3948,14.08,4.45735,Türkiye,Tokat,Erbaa,2021-05-12 09:03:01.540,NAF03
0.23,502466,Sungurlu (Çorum),40.2385,34.4828,13.94,4.0,Türkiye,Çorum,Sungurlu,2021-05-15 23:06:23.720,NAF04
0.41,503705,Otlukbeli (Erzincan),40.0185,40.0676,7.34,4.2,Türkiye,Erzincan,Otlukbeli,2021-05-25 21:37:51.840,NAF03
0.33,506526,Sungurlu (Çorum),40.1033,34.4688,12.39,4.2,Türkiye,Çorum,Sungurlu,2021-07-10 21:53:26.010,NAF04
0.22,513311,Merkez (Çorum),40.4161,35.01,13.91,3.7,Türkiye,Çorum,Merkez,2021-09-30 13:20:42.090,NAF04
0.41,516094,Merkez (Düzce),40.7981,31.035,7.11,4.3,Türkiye,Düzce,Merkez,2021-11-17 12:57:18.940,NAF01
0.43,516116,Merkez (Düzce),40.7946,31.0401,11.21,3.9,Türkiye,Düzce,Merkez,2021-11-17 18:35:42.570,NAF01
0.41,517773,Bayat (Çorum),40.4748,34.2145,7.06,4.1,Türkiye,Çorum,Bayat,2021-12-17 09:28:34.090,NAF04
0.47,517904,Bayat (Çorum),40.4613,34.2216,6.99,3.6,Türkiye,Çorum,Bayat,2021-12-20 19:21:29.530,NAF04
0.5,519660,Yenişehir (Bursa),40.2816,29.6661,7.74,3.7,Türkiye,Bursa,Yenişehir,2022-01-22 11:13:45.170,NAF01
0.37,520422,Marmara Denizi - Gemlik Körfezi - [04.61 km] Armutlu (Yalova),40.4266,28.993,7.04,3.9,Türkiye,Yalova,Armutlu,2022-02-06 12:07:53.260,NAF01
0.37,521277,Marmara Denizi - [06.73 km] Şarköy (Tekirdağ),40.7186,27.404,10.42,4.1,Türkiye,Tekirdağ,Şarköy,2022-02-20 20:20:11.400,NAF01
0.2,522443,Çat (Erzurum),39.6453,41.0788,5.44,3.9,Türkiye,Erzurum,Çat,2022-03-12 10:39:24.860,NAF03
0.66,526447,Yedisu (Bingöl),39.399,40.5975,4.35,4.0,Türkiye,Bingöl,Yedisu,2022-05-27 12:49:32.790,NAF03
0.39,526957,Pazar (Tokat),40.2556,36.3353,10.29,3.9,Türkiye,Tokat,Pazar,2022-06-07 05:06:03.180,NAF03
0.32,528977,Merkez (Düzce),40.8365,31.3388,17.44,4.2,Türkiye,Düzce,Merkez,2022-07-20 19:49:40.190,NAF02
0.34,529972,Merkez (Çorum),40.6776,34.8516,5.42,4.2,Türkiye,Çorum,Merkez,2022-08-12 06:07:12.290,NAF02
0.46,531452,Taşova (Amasya),40.7451,36.4291,6.97,4.2145,Türkiye,Amasya,Taşova,2022-09-04 00:49:18.250,NAF02
0.6,532226,Çat (Erzurum),39.406,40.653,15.0,4.9,Türkiye,Erzurum,Çat,2022-09-16 20:30:35.000,NAF03
0.47,533118,Tercan (Erzincan),39.587,40.531,7.0,4.4,Türkiye,Erzincan,Tercan,2022-09-29 21:49:02.000,NAF03
0.32,533235,Tercan (Erzincan),39.602,40.521,7.0,4.2,Türkiye,Erzincan,Tercan,2022-10-01 05:41:13.000,NAF03
0.44,533237,Tercan (Erzincan),39.605,40.525,7.03,3.8,Türkiye,Erzincan,Tercan,2022-10-01 06:04:11.000,NAF03
0.34,533252,Tercan (Erzincan),39.609,40.54,3.18,4.2145,Türkiye,Erzincan,Tercan,2022-10-01 13:24:20.000,NAF03
0.41,535800,Tercan (Erzincan),39.586,40.501,6.99,3.8,Türkiye,Erzincan,Tercan,2022-11-11 17:02:11.000,NAF03
0.28,536579,Gölyaka (Düzce),40.789,30.957,9.45,4.3,Türkiye,Düzce,Gölyaka,2022-11-23 03:50:58.000,NAF01
0.44,537337,Refahiye (Erzincan),39.862,38.68,8.94,3.8,Türkiye,Erzincan,Refahiye,2022-11-30 16:30:26.000,NAF03
0.49,537455,Merkez (Düzce),40.813,31.069,7.05,3.7,Türkiye,Düzce,Merkez,2022-12-02 10:03:18.000,NAF01
0.25,537481,Gölyaka (Düzce),40.784,30.985,10.78,3.6,Türkiye,Düzce,Gölyaka,2022-12-02 18:49:36.000,NAF01
0.5,537527,Gümüşova (Düzce),40.808,30.946,14.2,4.1,Türkiye,Düzce,Gümüşova,2022-12-03 04:59:20.000,NAF01
0.42,538044,Refahiye (Erzincan),39.854,38.684,7.05,3.6,Türkiye,Erzincan,Refahiye,2022-12-10 10:29:26.000,NAF03
0.3,538260,Biga (Çanakkale),40.364,27.11,12.12,4.3,Türkiye,Çanakkale,Biga,2022-12-13 03:21:16.000,NAF01
0.49,538692,Aşkale (Erzurum),39.859,40.537,10.21,3.9,Türkiye,Erzurum,Aşkale,2022-12-18 08:57:49.000,NAF03
0.28,539543,Tosya (Kastamonu),41.109,34.184,10.16,3.9,Türkiye,Kastamonu,Tosya,2022-12-28 07:45:12.000,NAF02
